,predict,actual
16870,34899.17616198924,39488
24802,20525.647800034283,18510
14251,25601.039962323994,25914
15902,24917.975309108533,24680
5107,38947.49366897309,39488
23863,9462.571113118158,12340
11312,17788.54612847945,19744
2049,23148.079470892317,18510
5455,19329.10196530207,16042
20109,35013.84616268604,35786
20622,54577.32439535515,64168
9080,31818.064488344015,37020
13584,28966.292816092384,24680
14835,53605.1632110512,59232
22949,48928.694521853795,49360
6680,31689.694192964827,30850
11362,13396.218619405205,8638
3832,16592.000293747238,14808
22462,45109.6047239912,46892
17033,28966.292816092384,24680
24509,48144.66016262393,57998
8783,13510.888620102003,9872
775,12199.672784672986,12340
16523,24532.752130698616,23446
2826,7807.345275598741,7404
834,6381.459439472927,7404
17805,54118.644392567956,60466
1741,61835.123871363416,59232
19194,3873.697769311689,4936
6331,52807.42855713895,54296
19508,32162.074490434406,30850
8071,9746.82458551366,12340
1540,37764.64812892326,35786
24698,20525.647800034283,17276
1382,21552.722455340143,19744
16061,31818.064488344015,37020
276,13781.44179781512,18510
8439,38832.82366827629,37020
3675,29635.657174625452,30850
15756,20951.97186249137,19744
730,22721.86770070758,24680
13667,25032.645309805335,22212
15573,7578.005274205142,6170
8500,41386.641573450026,44424
13872,16761.583765445936,11106
10241,36210.39199741826,37020
21931,44765.70701417315,38254
17760,36040.9208179919,37020
12442,43339.821178047336,43190
2534,17389.734947659497,17276
4750,11740.99278188579,12340
8522,29635.657174625452,34552
10429,37750.94783424088,34552
9755,12199.672784672986,8638
11641,38562.27049056318,33318
15074,13740.228621495602,9872
4411,38122.35842569605,40722
4414,35981.05199602466,38254
6860,19099.76196390847,22212
16528,12314.342785369787,6170
10457,47961.37639624283,49360
10424,47732.14868712158,44424
17498,33514.391209910595,30850
18806,37406.93783215048,34552
24999,5212.426486377834,6170
319,37406.93783215048,37020
19897,35013.84616268604,33318
4516,51253.172425633944,55530
17953,17788.54612847945,20978
9684,41129.900982691644,45658
6784,36095.72199672146,41956
23362,9003.89111033096,7404
15150,12199.672784672986,11106
5111,50239.91035728282,57998
7673,51982.293313861905,48126
9066,6266.789438776128,7404
17766,3901.210650948819,7404
21709,20754.987801427884,20978
7603,25316.78648992849,29616
24635,33074.36685277113,33318
6739,32047.40448973761,32084
13450,52151.87678556061,46892
16266,43082.96829501661,40722
8179,14079.283272620667,13574
23262,25174.71589986691,25914
9331,19870.096028455948,18510
6853,15693.408226092912,14808
3337,24688.635307714936,25914
5567,12997.407438585245,14808
12722,37636.277833544074,38254
4504,52307.64767030458,49360
6319,16477.33029305044,14808
8659,27769.74698136016,22212
10436,56287.351411604126,60466
19380,9604.753995452082,6170
4434,26114.52114384075,19744
3760,30736.188654308597,30850
13925,23492.089472982712,20978
13811,6610.799440866525,7404
24985,44651.03701347636,38254
16414,8192.568454008655,9872
21601,3873.697769311689,3702
21686,28154.85786749773,24680
15142,43683.718887865376,38254
18762,50212.39747564569,43190
8517,19329.10196530207,17276
3354,33243.95032446983,38254
5345,29864.99717601905,25914
19571,27168.996388511387,30850
23017,13625.558620798802,13574
6937,42454.81711280305,51828
1518,40373.37950509891,38254
21110,35412.657343506,33318
8562,9233.231111724559,8638
4891,44380.48383576325,46892
5287,30493.148358232607,34552
5264,36325.06199811506,34552
16955,35838.86911369074,34552
22276,9233.231111724559,9872
22709,40731.08980187169,37020
13832,27682.477570028143,25914
10464,30392.178652218197,29616
4884,9462.571113118158,11106
10674,42028.60534261831,38254
1523,30277.5086515214,27148
12539,28196.07104381725,24680
4538,10659.116947850374,6170
14120,16775.284060128328,19744
11988,17715.08930410217,13574
4056,26343.861145234347,23446
22034,22295.5436382505,19744
