,Unnamed: 0,applicant_id,years_of_insurance_with_us,regular_checkup_lasy_year,adventure_sports,visited_doctor_last_1_year,daily_avg_steps,age,heart_decs_history,other_major_decs_history,avg_glucose_level,bmi,Year_last_admitted,weight,weight_change_in_last_one_year,fat_percentage,insurance_cost,Student,Business,150 to 175,200 to 225,175 to 200,225 to 250,Female,formerly smoked,never smoked,smokes,Jaipur,Bangalore,Bhubaneswar,Guwahati,Mumbai,Nagpur,Surat,Pune,Kanpur,Mangalore,Kolkata,Delhi,Ahmedabad,Lucknow,Y,Daily,No,Extreme
Unnamed: 0,1.0,1.0000000000000038,-0.01744447215973648,-0.009705334890600839,0.00365334960630905,-0.0010915176986887633,-0.000549587761744562,0.00029946623952240156,-0.007841803729228197,0.0036588481942825997,-0.0011168052219765279,0.004040775693051281,-0.0007141810978460842,0.00012304434516256522,0.007270821025249024,0.009605629777364861,0.002584918614124526,-0.0005661436466234753,-0.0019939336201482364,0.011626493910794929,-0.006799525068875841,-0.00613530136441357,0.010754828778814894,-0.0025415754035360712,-0.006450469676794338,0.009685671700716813,0.0005242988380873311,-0.00267921238897292,0.0008536750243523656,0.008962658654633724,0.008661996326913187,0.0018360750314268572,-0.010888563898243215,-0.003315064757522074,-0.004448064365577317,0.008170027878967163,0.006995599456869488,-0.006562025200433844,0.005675564559662557,0.0074088091142125384,-0.004149445407611737,-0.004760471021181788,0.008044485796109674,-0.010863831168028198,-0.0019315277227608533
applicant_id,1.0000000000000038,1.0,-0.017444472159732657,-0.009705334890602426,0.003653349606308375,-0.0010915176986878766,-0.0005495877617417135,0.00029946623952411974,-0.007841803729226033,0.003658848194280139,-0.00111680522197838,0.0040407756930517565,-0.000714181097847755,0.00012304434516334262,0.00727082102525062,0.009605629777367293,0.0025849186141251768,-0.0005661436466196143,-0.001993933620149362,0.011626493910792662,-0.006799525068875818,-0.006135301364413915,0.010754828778812625,-0.0025415754035363752,-0.006450469676796264,0.00968567170071533,0.0005242988380875473,-0.002679212388972855,0.0008536750243501461,0.008962658654636397,0.008661996326914813,0.0018360750314245838,-0.010888563898244403,-0.003315064757521642,-0.004448064365576021,0.008170027878963367,0.006995599456869323,-0.00656202520043577,0.005675564559664953,0.007408809114214945,-0.004149445407613516,-0.004760471021182926,0.00804448579610988,-0.010863831168028014,-0.001931527722759306
years_of_insurance_with_us,-0.01744447215973648,-0.017444472159732657,1.0,0.018549150617511972,0.01641887973135754,0.0029848014894946692,-0.0014796963602277816,0.00410040909441139,-0.0011227812214623632,-0.010547814678453267,-0.00017388533421477964,-0.013185360491360645,0.0025032955416127564,-0.006284709780090785,-0.0006080884012870271,-0.003301520005691017,0.0014041508360615738,0.0015167615287305053,0.00766634009405493,0.004269362199168526,-0.001653438031372509,0.005838047522953877,-0.015473303553198627,0.007958672350165346,0.002333843723968677,-0.012635774782138811,-0.004427133638000326,0.0011622599071641217,0.009637174441030074,0.0003212539799320066,0.0027720040116999997,-0.004293950124139155,-0.005300700918468608,0.006133859558440501,0.002901856309274703,0.0024526406832314687,-0.008913296788013648,-0.007932181761624468,0.004070663952344798,-0.009527988902223509,-0.0010396289288478568,0.2609277470535589,-0.00014970284114501205,0.002573608610995253,0.006772073968322075
regular_checkup_lasy_year,-0.009705334890600839,-0.009705334890602426,0.018549150617511972,1.0,0.00929754125121241,-0.0058258892906374446,-0.001927643445334509,0.009033135966864298,2.2468031309098972e-05,-0.009595844115818094,0.014459034550609233,-0.008420719061974766,-0.005993361077350301,-0.14249163826579528,-0.012989761300167383,0.0021900619631386262,-0.17400481885898106,-0.00920255448769604,0.0016826670418319562,0.002463260159102495,-0.010360449047846786,0.0041805720714946665,0.005812428989613789,0.009298658551606477,-0.00346027638336121,-0.001019994630441094,0.0024144585554388477,-0.028553825189478063,0.06696527429975094,-0.028629247697392713,-0.0358562445068548,0.06422698335047855,-0.028991901899279596,-0.02889441674576441,-0.033023699029264435,-0.023334174551080156,-0.03114783562808895,0.03327695385099101,0.07115842766559152,-0.003927544539133686,-0.030267890766694335,0.018206962261100617,-0.001647619228046854,-0.006498197095329783,-0.001741991389941501
adventure_sports,0.00365334960630905,0.003653349606308375,0.01641887973135754,0.00929754125121241,1.0,0.011142788057153241,-0.0006709024172701694,-0.0024397622170641534,0.002807911594460006,0.00366069732359978,-0.005933045700624686,-0.0021956467013441255,-0.06249105617139181,0.07393774400005584,-0.047269843579221524,0.003053460163549793,0.07456081306111426,0.0020775851951484424,0.008690192685086385,0.007004384380252576,-0.005934460430056591,0.00620302366036364,-0.011619922323747681,0.004615327512895668,-0.0014532495559544958,-0.0023676262903357973,-0.002023605253936112,0.010183472043274171,-0.0013513178831747034,0.002172211584821755,-0.0015406727905915689,-0.0002885626800583189,0.010019973842329881,0.015649370234738114,-0.009218177807249232,-0.016392242986526393,-0.007940551909302297,-0.003194972313141619,0.002747180104866953,0.00931325667260135,-0.005770385313138583,0.022362660391450895,-0.007150254724512643,0.00618417410511317,-0.0003107022833756738
visited_doctor_last_1_year,-0.0010915176986887633,-0.0010915176986878766,0.0029848014894946692,-0.0058258892906374446,0.011142788057153241,1.0,-0.15688772157816575,-0.0012469112792887352,-0.0034435430141004195,0.00933758695275601,0.008147282133596698,0.0006300383980399361,-0.007965890559902095,0.012097550009820554,-0.01273318843940391,-0.04345458154612048,0.008890410959290402,-0.013595388714347725,0.0052846889951028795,0.022022227655633154,-0.07281701420188455,0.019619295116606105,-0.0044690734566823105,-0.0017585106415272263,0.0011961846150867887,0.005679066383308889,-0.003967032619705814,0.00225582880843807,-0.0010343567911580444,0.0006177192466407196,0.0016518501809847479,-0.001515538590170806,0.004881173903417384,-0.01588002012758398,0.007964041121704568,0.0006481788184971362,0.000859789308796154,-0.008084811577562764,0.003910573054406883,0.0012964730830577018,0.0038843861992788977,0.009524351959529637,0.04137388375281323,-0.02813190789619919,0.008100789799561506
daily_avg_steps,-0.000549587761744562,-0.0005495877617417135,-0.0014796963602277816,-0.001927643445334509,-0.0006709024172701694,-0.15688772157816575,1.0,-0.0003133663324017343,0.007255776974660082,-0.0036609090707940438,0.0004815168963326442,-0.005585180431604069,0.005087665345245413,-0.0057684022379490465,0.008347501435521485,0.04582729982786973,-0.0065645116723452145,-0.04492810938787522,-0.014211423015613164,-0.011772188594693464,0.013045632267522993,-0.05522713196200523,0.05341716852802139,0.00913832671795173,-0.005341316377616834,-0.0058358637883396645,0.008625458182648685,0.013400552536515026,-0.0008207897813769833,0.005257621800581362,-0.0024427698492113237,0.004889635648524891,-0.0045633992062522255,-0.0027546311649487122,0.01148316190923198,-0.0015243424872179937,-0.01392136042327965,-0.00047530853083874007,-0.0014117344381635313,0.002071005503119593,-0.004206161498079285,-0.0015260821629178008,-0.044733537392792844,0.07937633174166953,-0.0779151081752815
age,0.00029946623952240156,0.00029946623952411974,0.00410040909441139,0.009033135966864298,-0.0024397622170641534,-0.0012469112792887352,-0.0003133663324017343,1.0,-0.0035448777604045892,0.004385651356602286,-0.011550756545494575,-0.014744426089209128,-0.008053334375342796,0.0016755338174461573,-0.004234671749060308,-0.007945981434956626,0.0051953201857363315,1.3163884141908279e-05,0.0027893044793595653,0.005604296576689233,-0.0004915838324615887,0.0021179029128876384,-0.004668417351015354,-0.000179675268504895,-0.001715631047236761,-0.004863623824623891,-0.0017041816752698025,0.005833708506558649,0.0011244733763609053,-0.006137138645174991,-0.008623008695953397,-0.006772001309606911,-0.0036890014942474393,-0.004521657099089952,0.003946996443888525,0.0231930626873518,-0.0020178622710877816,0.010787214981233646,-0.00944055052151292,0.0007740883748331392,-0.011768662597601082,0.003091802671076258,-0.005153941922020124,0.003298053234063647,0.004083480470958939
heart_decs_history,-0.007841803729228197,-0.007841803729226033,-0.0011227812214623632,2.2468031309098972e-05,0.002807911594460006,-0.0034435430141004195,0.007255776974660082,-0.0035448777604045892,1.0,0.10701504649905991,-0.005187685480276198,0.036495956489593265,-0.0016259502875652814,-0.004490352514737333,0.005150559408824034,-0.003600078724063161,-0.0004449374502438081,-0.002735161408049255,0.007005694784845172,0.005971796596404657,-0.005934218559196988,0.008588539737498797,-0.010402215186622361,-0.11481110486752812,0.0676589666877515,-0.022005557866033157,0.04366216785893969,0.006131048223984011,-0.006347675163959715,0.007607388839133709,-0.00025227209764684346,-0.0011267647130881087,-0.002730707616753411,0.00012771606029664113,0.0038397958796209343,-0.0027685258709265023,0.0029917739465945927,0.010354540012235514,-0.012509213443078992,0.0009629459684613163,0.0025287967491214457,0.005635710272185268,-0.008445187224392399,0.004612216447538503,0.011776022405020958
other_major_decs_history,0.0036588481942825997,0.003658848194280139,-0.010547814678453267,-0.009595844115818094,0.00366069732359978,0.00933758695275601,-0.0036609090707940438,0.004385651356602286,0.10701504649905991,1.0,0.0009373942370338037,0.15732489224846308,-0.0011064767610273075,-0.003851078134900904,0.0017439197754149638,0.0005866007104368602,-0.0022680807142166433,-0.005799024156359054,-0.0009775037010012087,0.0016409829837414683,-0.003680229966089568,-0.008335966927661765,0.009977111024718889,-0.16481518236014306,0.05935808107116608,0.06519309882847443,0.031013153415590546,-0.0023783992444834138,2.7879927639807713e-06,0.005193313258734737,-0.005448069428609771,-0.0025658688678631162,-0.011998741182883872,0.006625769844853054,-0.007758926302044801,0.00790795547369541,0.003432605546698283,0.005450716201714981,-0.002635872518410941,-0.001404973025091414,0.0034304558038425197,-0.008554403849696487,-0.0016090879540853924,0.0010031035441135463,0.0035838362878478206
