,predict,actual
16870,35143.7273241417,39488
24802,20245.897595184644,18510
14251,25783.31157553536,25914
15902,24807.779287991892,24680
5107,39367.10457505169,39488
23863,8998.931245777057,12340
11312,14910.67211099174,19744
2049,22359.08324568205,18510
5455,18597.639895967644,16042
20109,35829.35787764253,35786
20622,56031.62212012522,64168
9080,32086.342716348292,37020
13584,26978.19579926364,24680
14835,55095.13030286427,59232
22949,50584.41769040699,49360
6680,31767.43003685892,30850
11362,12767.237519746624,8638
3832,17598.09044875488,14808
22462,45634.91746421419,46892
17033,28814.484008904292,24680
24509,49781.96818252608,57998
8783,12633.053108937334,9872
775,12714.310512895569,12340
16523,23505.03796379391,23446
2826,7474.4071712419245,7404
834,5288.911006536286,7404
17805,55406.14569003356,60466
1741,62330.511450733975,59232
19194,1067.691248786322,4936
6331,52579.18842992169,54296
19508,31975.633366378872,30850
8071,9961.88805338531,12340
1540,38010.04051961253,35786
24698,20265.834458658115,17276
1382,21481.03159755939,19744
16061,31279.56522150633,37020
276,15196.05460775867,18510
8439,38452.23997731664,37020
3675,31174.896399977704,30850
15756,20855.21986765551,19744
730,22775.94105618802,24680
13667,24652.519542684822,22212
15573,6432.581514945071,6170
8500,42387.00048449998,44424
13872,16534.50389436667,11106
10241,36425.656893716616,37020
21931,45439.66827652177,38254
17760,37970.561801957505,37020
12442,43666.66535742473,43190
2534,17246.060616480332,17276
4750,11062.571006136177,12340
8522,31157.872028486767,34552
10429,36263.622979705564,34552
9755,11998.451672354618,8638
11641,37751.80452722428,33318
15074,13413.583484636092,9872
4411,38231.93253533135,40722
4414,35948.198272471884,38254
6860,18458.37916293368,22212
16528,11707.442452518066,6170
10457,47760.030999507595,49360
10424,48411.4702347945,44424
17498,33385.57860429044,30850
18806,36229.871358476164,34552
24999,4691.966750239173,6170
319,37694.66177834855,37020
19897,35227.70533125126,33318
4516,51393.791129613295,55530
17953,17210.693975481227,20978
9684,42059.798290164865,45658
6784,35833.731654992385,41956
23362,7528.706963588774,7404
15150,11695.512856592924,11106
5111,50760.7528462357,57998
7673,52983.73711084,48126
9066,5377.551132092829,7404
17766,4050.81775492004,7404
21709,20822.446764473556,20978
7603,26218.901298500634,29616
24635,32150.074395728167,33318
6739,32312.00252632774,32084
13450,52143.33241345482,46892
16266,42847.2395438098,40722
8179,13661.055537834693,13574
23262,26162.501834375158,25914
9331,21361.080284358533,18510
6853,16127.302140699678,14808
3337,24486.770338659677,25914
5567,12850.216771245243,14808
12722,38067.34880150997,38254
4504,52301.555110486326,49360
6319,16210.752152027377,14808
8659,26278.34400136376,22212
10436,57215.78031497552,60466
19380,10154.959097607385,6170
4434,26152.434164187423,19744
3760,30903.865603622937,30850
13925,23400.00998733573,20978
13811,5527.970787034276,7404
24985,45212.11653236426,38254
16414,9638.218695200827,9872
21601,2440.4740163073266,3702
21686,27847.425709231884,24680
15142,43155.48241551845,38254
18762,49963.6095514092,43190
8517,18220.78432488939,17276
3354,33125.04460226027,38254
5345,30382.307449719836,25914
19571,27182.8855032706,30850
23017,14006.66035425112,13574
6937,43477.2971729062,51828
1518,40588.72206097614,38254
21110,35236.17094312362,33318
8562,8766.910000671252,8638
4891,44005.28106863571,46892
5287,30574.680203448675,34552
5264,35737.63232600514,34552
16955,35168.55433867588,34552
22276,9530.534612711734,9872
22709,41268.240221983855,37020
13832,27168.550836692273,25914
10464,31101.163715426446,29616
4884,8762.666527993002,11106
10674,42603.07419369406,38254
1523,28638.640919696187,27148
12539,28615.573094609943,24680
4538,8706.547265965271,6170
14120,17625.79026871811,19744
11988,19103.45028321243,13574
4056,27437.557588794964,23446
22034,22223.288196179452,19744
23237,38306.24697325281,33318
12086,30779.776251582607,29616
21989,14775.50199858888,16042
16797,18520.10432298769,19744
6278,2717.029562526298,7404
18956,39689.614423592786,40722
14357,1882.2305008862268,7404
1534,22134.57278425252,22212
24425,29906.63497880504,30850
14086,29274.53632265841,30850
12521,47151.12555578399,49360
14302,28994.705601908998,25914
19798,16169.116503876714,11106
437,18423.94399454243,18510
12616,32268.697016335107,39488
5608,16248.936913267633,14808
19678,7354.9003004723045,11106
20792,48275.42302608371,50594
13821,40831.25578440917,33318
10570,7884.3952950358425,7404
7190,29909.56118836068,27148
18489,25318.64224919928,24680
9382,14192.137608351273,14808
20485,11871.306586626244,16042
13930,22860.624937087367,24680
17278,51736.29869179953,53062
2777,31773.581531358097,30850
22447,22847.077146142357,19744
10700,32138.547013085077,29616
11011,55478.23612634992,60466
22644,42414.81616900531,38254
23233,14838.891318105152,11106
1710,38125.11674421227,38254
17163,13007.780630100575,8638
6626,16122.023159254351,20978
13516,21883.980129780186,19744
10827,34911.56237950355,35786
6156,14333.909580242358,16042
11915,18089.874777023935,19744
4625,11589.566377356849,12340
22602,13084.122444553748,13574
12996,37000.578901624554,37020
6073,30654.858087757726,25914
15129,24261.868648746422,22212
2427,34668.01585590858,30850
12114,8623.405278719414,6170
20933,26572.02903147326,29616
19369,48919.47079571476,54296
13695,28149.963925047083,33318
3860,33301.36085728978,25914
7446,33216.91614070287,37020
15384,34803.53914509136,34552
19127,30246.850339285887,34552
10384,16491.26516352098,19744
12879,36803.850910339854,35786
10411,29951.883336450275,28382
17587,3837.02555529282,3702
17106,34788.65502290864,33318
14882,13031.97284760917,17276
23572,25436.566027760546,20978
19560,32654.72805652146,28382
14899,31909.45880732674,27148
16340,30208.067676249975,33318
16637,43617.6361127828,39488
23177,15702.66263237713,12340
23317,17586.78594543936,18510
1279,3277.119048539962,6170
10015,62271.29764821584,57998
8867,24689.523082029657,22212
16636,45061.49350343886,41956
3465,54008.30452307906,54296
21706,26944.24699585523,25914
1242,16803.165680737067,17276
13433,51338.834520659075,50594
3605,39814.34902701885,38254
18486,44643.465418309584,48126
23492,9821.070853543164,9872
10884,37360.88686613067,41956
18318,21080.35255210913,18510
7977,45492.005237680525,46892
829,10602.033848656989,9872
19541,41942.1801577368,44424
9142,7127.8688489418855,7404
1571,16651.64527148414,12340
10344,43920.355162164415,46892
1353,39036.7569628608,37020
604,47987.79384789568,46892
10660,36754.18867912912,39488
6898,14349.025982184727,9872
15145,37459.61164371908,43190
9488,11346.057139450742,6170
13785,21025.05851104907,19744
8653,6054.6460792577345,7404
13118,18687.64199275477,20978
20694,34182.31869400656,33318
21780,38287.6214986974,38254
6193,16928.80416630574,22212
6831,36904.435387045756,37020
2663,32040.612640591065,28382
20019,31727.165562251215,28382
23213,13446.71202990505,11106
3724,22394.77837189983,20978
6504,12942.023181190203,8638
5494,17133.9948259058,11106
12613,32362.480960197703,32084
2820,26201.299906177203,20978
12075,27511.064560573857,28382
3193,6009.804871281498,8638
16628,8146.891558828463,8638
23521,28220.629782472268,28382
22234,44781.9300243108,46892
7450,33062.27477845103,35786
9184,12712.589041154299,13574
11058,40393.899656153706,39488
18575,38025.77239882613,38254
21628,27387.17397386573,27148
17826,26342.308171927125,27148
10646,9350.433167773277,11106
1190,34564.37827439241,37020
20529,6638.645564800541,11106
19722,19214.829634961025,16042
1628,52701.44095205671,57998
24246,20798.714185503264,14808
23346,8573.266570233225,11106
3361,32397.638297339934,30850
2805,8024.552040028077,7404
3426,1059.4212968691563,7404
1957,29156.09818251444,23446
9506,8750.159571794833,8638
11160,25351.988712201433,27148
8839,29584.14529749211,25914
11069,10123.963749111406,4936
13508,12768.802306762082,8638
1915,38030.889610257116,41956
4309,11433.46748758068,6170
20014,191.4692740534956,3702
312,23853.062908907348,24680
6674,28568.87492272156,27148
15535,18770.449388844056,16042
9413,51686.80240511551,55530
12622,49789.85972648529,54296
5227,48018.22517672858,46892
12315,21730.976935414812,19744
7993,-172.51855721347238,6170
14601,11021.639134685067,7404
10623,31291.115139921592,38254
7099,20873.464982618676,25914
6948,4587.90310643146,7404
16311,11492.901035837504,8638
13944,36406.33243899632,38254
24961,4118.369915095213,6170
24058,26699.94615083603,28382
8000,42476.44960296957,40722
19253,40708.606262644054,39488
16554,31868.91684671676,27148
7508,27396.740802753422,29616
23985,42776.19249976495,39488
24444,19972.597404862827,17276
15738,23168.057614393772,25914
12048,13565.267732096321,13574
1047,-1086.2248894730128,3702
1090,44080.57524793476,48126
2576,39944.90989013796,43190
11616,29132.993921231784,28382
15968,30339.461589623992,32084
7825,36350.44390890468,37020
5988,19714.917414701114,20978
20263,4656.027236561816,8638
13361,24066.098205037502,27148
18030,35569.30401909321,39488
5931,29179.17251254132,27148
12401,47013.06674993,45658
12221,54202.04359946499,59232
12515,10079.838837929949,9872
4700,33528.62413523726,29616
20760,31694.90534083698,34552
9996,33121.570714324735,33318
5047,12421.402504478618,7404
6236,35566.37462724557,38254
20846,55609.944553294175,53062
5617,21951.119770108802,19744
19016,13682.667837070068,11106
20856,9938.49834090965,9872
19456,10957.787981883934,6170
13456,36065.106344360116,32084
24075,37588.49779085067,32084
21713,4261.847711129926,4936
18414,14609.655191202695,12340
12472,46524.73724256824,46892
2481,37690.524862776845,38254
17246,28151.122519202607,23446
875,35963.58753101406,38254
10401,20797.02048321717,14808
15078,45770.788617622995,48126
8919,40505.889893793574,37020
16613,21735.939298463054,17276
7496,4814.481658600295,6170
3882,29236.660181835225,28382
9925,32339.831102360673,30850
21506,34223.497755053766,35786
22754,43638.112161596306,41956
2769,34735.30985697898,32084
8787,9388.54484706278,9872
2188,34771.822551207326,37020
4936,17803.425871025123,19744
13703,42937.81796867642,38254
3874,14593.468639434566,11106
2179,34102.649309130386,33318
1244,38861.02237104028,43190
13294,41774.71921560001,38254
16780,16744.465400130746,18510
11164,24656.802516172487,23446
1490,46412.681330701904,44424
13858,33857.38058282259,32084
14091,38251.74038000682,39488
15644,24635.807342197077,20978
16487,43909.11926827497,39488
2055,16931.621910491856,20978
8746,18829.33905591109,18510
12239,21271.849537881153,17276
13166,13228.755174463486,14808
5265,24278.208125479243,28382
11153,8270.679179009625,7404
3841,38017.44330919476,39488
9601,40973.171547485734,39488
12687,38462.60861807679,35786
830,29293.864955563982,30850
7806,14110.137902852257,11106
18760,21696.964201911112,17276
20851,13636.444529705703,16042
9825,5307.099258919623,8638
4860,21680.182832601677,19744
3583,22197.335108097293,22212
3460,17180.05667457848,17276
21352,15554.517875225225,14808
12450,11100.759016959491,7404
6925,44390.381409395326,48126
2025,10531.44075375608,8638
6704,-1000.4932805342978,6170
8293,33526.292249694765,34552
18237,30158.82452200365,25914
10385,24695.335128432605,27148
10575,47330.143145430455,45658
10535,18107.511076465402,14808
16393,35072.00244025311,34552
19795,6692.783328844234,8638
5710,29244.046902103124,28382
4603,27967.699597226023,25914
18963,11297.41890407268,6170
4782,38239.026217584964,32084
18042,2797.0186932035494,14808
13942,28978.93736253682,30850
286,30919.205562983374,30850
3231,39645.265513115504,40722
